"Poste Source","Evènement","Date de détection","Ouvrage","Détail","Priorité","Etat","Échéance","Entité"
"LA BRICHE",,,,"Lot Rame 1 en défaut mineur / Lot auto en défaut mineur (Pb Switch FO)",,"A réaliser",,
"LA BRICHE",,,,"Lot TR313 avec une rupture neutre active",,"A réaliser",,
"LA BRICHE",,,,"Prot X92 en défaut Mineur",,"A réaliser",,
"LA BRICHE",,,,"Chaleur importante dans les UA / Pas de clim dans le batiment RTE",,"A réaliser",,
"LA BRICHE",,,,"départ BRIARD défaut mineur",,"A réaliser",,
"LA BRICHE",,,,"aero 312 sales",,"A réaliser",,
"LA BRICHE",,,,"DJ 611 fuite etna",,"A réaliser",,
"LEVALLOIS",,,," Alarme sonore (klaxon) HS",,"A réaliser",,
"LEVALLOIS",,,," Bagues d’identification de câbles HTA a vérifier sur l’ensemble des cellules HTA (ARR + Départs)",,"A réaliser",,
"LEVALLOIS",,,," Niveau 1 : vitre cassée et stockage matériel sur place ",,"Réalisée",,
"LEVALLOIS",,,," Porte d’accès de la loge TR613 HS (ne se ferme pas)",,"A réaliser",,
"LEVALLOIS",,,,"Absence de BP pour contrôle Eclairage extérieur +Eclairages Loges (travaux BRIPS) : 
- Loge TR611: Absence de BP- Eclairage toujours allumé 
- Loge TR612: BP HS – Eclairage toujours allumé 
- Loge TR613: BP HS – Eclairage toujours éteint 
",,"A réaliser",,
"LEVALLOIS",,,,"Absence de système protection armoires BT dans le couloir Aeros lors des entretiens Aéros ",,"A réaliser",,
"LEVALLOIS",,,,"AT85 : Complément d'huile à prévoir + MP ",,"Réalisée",,
"LEVALLOIS",,,,"Bornier télécom non protégé au premier étage",,"A réaliser",,
"LEVALLOIS",,,,"BPAG HS dans la totalité du PS suite à travaux BRIPS TR611? + 2 BPAG cassés au N+1 et au niveau du bâtiment 10kv ",,"A réaliser",,
"LEVALLOIS",,,,"Câbles BT suspendu dans le BAT",,"En cours",,
"LEVALLOIS",,,,"Câbles HTA tirés non capotés dans la salle de brassage",,"A réaliser",,
"LEVALLOIS",,,,"Couloir Grilles HTA/Selfs: Porte «provisoire» installés par le BRIPS non référables à clés",,"A réaliser",,
"LEVALLOIS",,,,"Eclairage extérieur insuffisant + sous sol rame HS + loge TR613 HS",,"A réaliser",,
"LEVALLOIS",,,,"Galerie : BP Alarme incendie posé à l’arrache en hauteur",,"A réaliser",,
"LEVALLOIS",,,,"Gravas sur TC non protégé dans la Grille HTA 18 (TR611)",,"Réalisée",,
"LEVALLOIS",,,,"Lot TR613 defaut C26 qui clignote",,"Réalisée",,
"LEVALLOIS",,,,"Manque affichage sur les portes des rames",,"Réalisée",,
"LEVALLOIS",,,,"Nettoyage appartement du 4ème étage",,"Réalisée",,
"LEVALLOIS",,,,"Nombreuses bouteilles « d’Azote » et « d’Air synthé » stockées dans le PS depuis les travaux BRIPS du TR611",,"A réaliser",,
"LEVALLOIS",,,,"Porte d'accès à la galerie ne ferme pas",,"Réalisée",,
"LEVALLOIS",,,,"Porte RDC accès extérieur ne se ferme à cause du bâti.",,"Réalisée",,
"LEVALLOIS",,,,"Salles rames poussiéreuses",,"A réaliser",,
"LEVALLOIS",,,,"Sous-sol Rame 2A : portes impossible à ouvrir F474",,"A réaliser",,
"LEVALLOIS",,,,"Stockage DJ HTA dans le batiment 10KV",,"Réalisée",,
"LEVALLOIS",,,,"Stockage nombreux tourets câbles HTA  sans zones dédiés",,"A réaliser",,
"LEVALLOIS",,,,"Téléphone ok dans la salle contrôle commande mais inexistant/HS dans le reste du PS",,"A réaliser",,
"LEVALLOIS",,,,"Tête détection SSI + chemins de câbles à refixer dans certains endroits ",,"A réaliser",,
"LEVALLOIS",,,,"TR613 : Miroir pour visualisation niveau conservateur non suffisant ",,"A réaliser",,
"LEVALLOIS",,,,"TS porte ouverte HS",,"A réaliser",,
"MENUS",,,," 2P43 à nettoyer",,"En cours",,
"MENUS",,,," Absence de la totalité des étiquetages (bagues) des câbles HTA en sous-sol (cellules HTA)  ",,"En cours",,
"MENUS",,,," Absence des identifications des portes des sous-sol Rames HTA ",,"Réalisée",,
"MENUS",,,," Compteur D’eau ont été remplacer identification à faire ",,"A réaliser",,
"MENUS",,,," PT 11 Câble non malté",,"En cours",,
"MENUS",,,," Serrure Locken à remplacer ",,"Réalisée",,
"MENUS",,,,"1 Clim sur 2 en défaut dans la salle Contrôle commande et l’autre fait un bruit anormal",,"Réalisée",,
"MENUS",,,,"ARMOIR dj HTB 612 VOYANT SF6 F8T612 ALLUMER",,"Réalisée",,
"MENUS",,,,"Armoire sf6 dj htb 611 voyant allumer ph0 A0T et F0T et F4T",,"En cours",,
"MENUS",,,,"Boîte dans les sous-sols de menus liaison TSA/réseau ",,"A réaliser",,
"MENUS",,,,"Compteur de manœuvres regl tr 612 HS commande à graisser",,"En cours",,
"MENUS",,,,"Eclairage HS Salle rame 1 et couloirs salles rames",,"En cours",,
"MENUS",,,,"Eclairage HS: SOUS SOL DES Rames 1, 2, 3 et 4 ",,"A réaliser",,
"MENUS",,,,"Extincteurs à reprendre ",,"A réaliser",,
"MENUS",,,,"Horodatage du C3S à reprendre",,"A réaliser",,
"MENUS",,,,"Pas d'éclairage dans la salle aéro (haut et bas) et conservateur du 612 ni couloir conservateur 612",,"En cours",,
"MENUS",,,,"Prévoir le retrait du rince œil bon jusqu'au 09/22",,"A réaliser",,
"MENUS",,,,"Raccordement borne électrique 7kW",,"Réalisée",,
"MENUS",,,,"Rames5A/5B hors exploitation : Présence importante de poussière dans la salle rame et sur le matériel.",,"A réaliser",,
"MENUS",,,,"Révision DJ mastergrid",,"Réalisée",,
"MENUS",,,,"Salle Batteries : Absence de système d’aération fonctionnel ",,"Réalisée",,
"MENUS",,,,"Salle GE : Porte coupe-feu de la pièce ne se ferme plus",,"A réaliser",,
"MENUS",,,,"SSI en dérangement propriété RTE sur relevé partagé actuel ",,"A réaliser",,
"MENUS",,,,"Stockage matériel dans la salle contrôle commande (sans balisage)",,"A réaliser",,
"MENUS",,,,"Stockage matériel sans balisage au niveau du rdc : salle contrôle commande, salle redresseurs et au niveau du -2 : PSEM/PIT",,"A réaliser",,
"NANTERRE",,,,"1F12 coupé dans la cellule ",,"A réaliser",,
"NANTERRE",,,,"Anciens AT43 et AT46 : Câbles HTA laissés sur place (queue de chantier BRIPS ?)",,"A réaliser",,
"NANTERRE",,,,"BPAG absent: Salle UA, intégralité des Grilles HTA TR611-612-613-614 (intérieur et extérieur), intégralité des salles rames (sauf Rame 7), intégralité des salles sous-sol rames (sauf rame 7), aérien 225kv entièrement ",,"A réaliser",,
"NANTERRE",,,,"BPAG HS : Salle Rame 7, sous-sol rame 7, TR612, TR614, TR613 (1/2 HS)",,"A réaliser",,
"NANTERRE",,,,"BPAG rame 7A et B HS",,"A réaliser",,
"NANTERRE",,,,"BPAG sous-sol rame 7 HS",,"A réaliser",,
"NANTERRE",,,,"Câbles BT posé au sol dans l’entrée bâtiment HTA (chantier RTE sans zone de travail ?)",,"Réalisée",,
"NANTERRE",,,,"Câbles entre condo et grille TR613 Faire virer les cellules et les câbles",,"Réalisée",,
"NANTERRE",,,,"Cellule HTA FT33 + 2F54 : Trémies rebouchées a la mousse expansive",,"A réaliser",,
"NANTERRE",,,,"Changer les voyants coffret de présence ",,"A réaliser",,
"NANTERRE",,,,"Cloture HS fosse déportée",,"A réaliser",,
"NANTERRE",,,,"Dalles cassées entre les minis grilles HTA du transformateur 613 et 614. ",,"Réalisée",,
"NANTERRE",,,,"Dalles cassées ou absentes",,"Réalisée",,
"NANTERRE",,,,"Fosse déportée ENEDIS vide d'eau",,"A réaliser",,
"NANTERRE",,,,"Goudronnage devant le PS ",,"Réalisée",,
"NANTERRE",,,,"Local Condos CF01 : Plusieurs DJHTA laissés à l’intérieur ",,"A réaliser",,
"NANTERRE",,,,"Pas de téléphone fonctionnels ",,"Réalisée",,
"NANTERRE",,,,"Plusieurs chauffage HS dans les rames ( rames 3, 5,6) ",,"A réaliser",,
"NANTERRE",,,,"Rame3 : Barre anti-panique cassée",,"Réalisée",,
"NANTERRE",,,,"Relamping a faire",,"Réalisée",,
"NANTERRE",,,,"Relancer GDP sur l’accès cassé au niveau du bâtiment 20kV",,"Réalisée",,
"NANTERRE",,,,"Risque plain-pied salle rame N°4",,"A réaliser",,
"NANTERRE",,,,"Salle UA : câbles non identifiés, tresses de câbles non raccordées ",,"Réalisée",,
"NANTERRE",,,,"Serrure BR RTE avec tranches ENEDIS TR611 explosé",,"A réaliser",,
"NANTERRE",,,,"Serrure porte vitré HS couloir bâtiment HTA ",,"Réalisée",,
"NANTERRE",,,,"Serrures bâtiments HTA avec des Locken RTE exclusif : Impossible à ouvrir par ENEDIS – Actuellement le bâtiments HTA reste ouvert 24/24",,"Réalisée",,
"NANTERRE",,,,"Sous-sol Rame 2: Protection mécanique câble HTA cassé au sol",,"A réaliser",,
"NANTERRE",,,,"TR614 nettoyage aeros",,"Réalisée",,
"NANTERRE",,,,"Trémie a reboucher 1F29",,"A réaliser",,
"NANTERRE",,,,"Trémie HTA 1F29 à reboucher",,"En cours",,
"NANTERRE",,,,"Tresse de terre 2F70 non câblée (BO MONTMAGNY) ",,"En cours",,
"NANTERRE",,,,"Défaut liaison TA est passé en disparition suite au redémarrage.",,"Réalisée",,
"NANTERRE",,,,"Manque le module ECCD dans la sous tranche sur les départs 1F23 et FT12 (Départs O+débrochés)",,"A réaliser",,
"NANTERRE",,,,"Niveau d’huile de l’AT 03 à surveiller",,"A réaliser",,
"NANTERRE",,,,"Silicagel à changer sur le TR 611",,"A réaliser",,
"NANTERRE",,,,"Un ICH à l’arrêt sur le TR612 (j’ai vérifié les relais des deux pompes KM1 et KM2 fonctionnent)",,"A réaliser",,
"NANTERRE",,,,"Coulure de la RLT sur les liaisons HTA TR611/612 (Risque de déclenchement par la masse grille)",,"A réaliser",,
"NANTERRE",,,,"Température armorie régleur TR614",,"Réalisée",,
"NANTERRE",,,,"Trémis à boucher la rame 4 et 6 + 1F12 + 1F29 + FT15",,"A réaliser",,
"NANTERRE",,,,"Niveau d'huile sur le TR612 n'est pas très lisible",,"A réaliser",,
"NANTERRE",,,,"Entretien aéro à prévoir sur le TR611 + TR614",,"A réaliser",,
"NANTERRE",,,,"Fuite au niveau du pressostat de la commande DJ HTB 613 PH4",,"A réaliser",,
"NANTERRE",,,,"Terre batterie sur le redresseur CC",,"A réaliser",,
"NANTERRE",,,,"Coulure matiere RLT sur les grille du TR611 et 612",,"A réaliser",,
"NANTERRE",,,,"Ecl a revoir sur le DJ de commande du TR 612",,"A réaliser",,
"NOVION",,,," Local UA /redresseurs sans aération -> températures élevées ",,"A réaliser",,
"NOVION",,,,"  Problème de gestion de l’eau avec deux compteur différents, récupérer l’autorisation de RTE d’utiliser égalements leurs arrivées plus pratique pour nettoyage des aéros ",,"Réalisée",,
"NOVION",,,,"Batiment HTA a nettoyer",,"A réaliser",,
"NOVION",,,,"Borne anti stationnement : boitier commande HS",,"Réalisée",,
"NOVION",,,,"BPAG ok mais présence de seulement 3 BPAG en sous-sol ",,"A réaliser",,
"NOVION",,,,"Câble HTA coupé au niveau du sol de la cellule HTA N95 BO MONTMAGNY",,"En cours",,
"NOVION",,,,"Câble touché sur le parking lors de terrassement pour travaux RTE (sur le chantier de renouvellement du contrôle d’accès) laissé sans suite. ",,"A réaliser",,
"NOVION",,,,"Chariot d’essai embroché dans la cellule N24 (était déjà présent en 2021 suite à une précédente visite) BO MONTMAGNY",,"En cours",,
"NOVION",,,,"Chauffage : rame L, K, J  inexistant, ne fonctionne pas dans rame G, H, C, pulsadis ",,"A réaliser",,
"NOVION",,,,"Croisement de DJHTA dans plusieurs cellules + quelques DJ HTA abandonnées désossées",,"A réaliser",,
"NOVION",,,,"Désherbage à prévoir ",,"A réaliser",,
"NOVION",,,,"Eclairage a reprendre dans la loge du TR616",,"A réaliser",,
"NOVION",,,,"éclairage HS armoire commande 610 ph 4",,"Réalisée",,
"NOVION",,,,"Eclairage HS dans certaines galeries",,"A réaliser",,
"NOVION",,,,"Fuite sur le pressostatdu TR 610 ph4",,"Réalisée",,
"NOVION",,,,"Fuite sur le TR 612 au niveau de la bride clapet CEM",,"Réalisée",,
"NOVION",,,,"Manque plusieurs diviseur capacitif dans toute les rames",,"A réaliser",,
"NOVION",,,,"Matériel de stockage non balisé sur le parking (suite à travaux RTE ?)  ",,"A réaliser",,
"NOVION",,,,"N57 N47 cables MALT au sol",,"A réaliser",,
"NOVION",,,,"N95 cable HTA coupé au sol",,"A réaliser",,
"NOVION",,,,"Nettoyage locaux sociaux",,"Réalisée",,
"NOVION",,,,"Pièce OMF : Décharge sauvage de matériel + composants ",,"A réaliser",,
"NOVION",,,,"Pieds structure ex JDB presents",,"A réaliser",,
"NOVION",,,,"Plusieurs condo gonflé",,"A réaliser",,
"NOVION",,,,"Présences de câbles BT devant les TR612/614 non passés dans des caniveaux ",,"A réaliser",,
"NOVION",,,,"Rame c manque etiquettage",,"A réaliser",,
"NOVION",,,,"SA 610 barre 1 ph0 mal réglé",,"A réaliser",,
"NOVION",,,,"Salles rames poussiéreuses ",,"A réaliser",,
"NOVION",,,,"Sol instable niveau aerien 225KV",,"A réaliser",,
"NOVION",,,,"SSI en dérangement Détecteur en galerie qui pose problème à déplacer.",,"A réaliser",,
"NOVION",,,,"SSI en derangement pour la galerie + zone mise hors service",,"A réaliser",,
"NOVION",,,,"Système fermeture du Portail en mauvais état + système bornes anti stationnement HS ",,"A réaliser",,
"NOVION",,,,"TIP TR616 niveau d'huile a compléter",,"A réaliser",,
"NOVION",,,,"TR 614 baches remplit d'huile et d'eau",,"A réaliser",,
"NOVION",,,,"TR312 aeros a nettoyer",,"A réaliser",,
"NOVION",,,,"TR312 bruits d'helices",,"A réaliser",,
"NOVION",,,,"TR312 : Eclairage à reprendre à l’intérieur de la loge + éclairage tombé à l’extérieur",,"A réaliser",,
"NOVION",,,,"TR314 aeros a nettoyer",,"A réaliser",,
"NOVION",,,,"TR612 : Pompe HS + Bruit anormal au niveau d’un moteur (bas droit)",,"A réaliser",,
"NOVION",,,,"TR612 areos a nettoyer",,"Réalisée",,
"NOVION",,,,"TR614 : Bruit anormal pompe Huile + TR s’enfonce (sol instable)",,"A réaliser",,
"NOVION",,,,"TR614 bruit a la pompe",,"A réaliser",,
"NOVION",,,,"TR614 fuites existantes et conservateur vide",,"A réaliser",,
"NOVION",,,,"TR614 : Présence fuite Huile + Bâche rempli huile/eau à vider + Bruit au niveau de la pompe",,"Réalisée",,
"NOVION",,,,"Tremie s non rebouchées N44,N84,N46,N75,N74,N73,N72",,"A réaliser",,
"NOVION",,,,"Trémies mal rebouchées au niveaux des cellules HTA N72,N73,N74,N75 et N84 BO MONTMAGNY",,"En cours",,
"NOVION",,,,"Trémies non rebouchées au niveau des cellules HTA N77 et N112 BO MONTMAGNY",,"En cours",,
"NOVION",,,,"tS porte ouverte HS",,"A réaliser",,
"NOVION",,,,"Aéro désequilibré TR616",,"A réaliser",,
"NOVION",,,,"Végétation à surveiller assez haute",,"A réaliser",,
"NOVION",,,,"610 ph4 616 ph0 616 ph4 616 ph8 niveau bas ",,"A réaliser",,
"NOVION",,,,"Centrale incendie en derangement",,"A réaliser",,
"NOVION",,,,"Nid d'oiseau",,"A réaliser",,
"NOVION",,,,"TA: tss3 allumé + df liaison",,"A réaliser",,
"PUTEAUX",,,,"225KV aerien eclairage HS dans la zone TR/grille HTA 612",,"A réaliser",,
"PUTEAUX",,,,"Absence BPAG Loge TR613 + Absence BPAG niveau 225KV aérien",,"A réaliser",,
"PUTEAUX",,,,"Absence de sabot de terre dans la grille HTA 612",,"A réaliser",,
"PUTEAUX",,,,"Alarme sonore HS : Bâtiment HTA + Nouveau Bâtiment TR",,"A réaliser",,
"PUTEAUX",,,,"Ancienne LS HTB 612 coupée mais non capotée/MALT",,"A réaliser",,
"PUTEAUX",,,,"AT23 et AT36 : Terrassement devant les loges",,"A réaliser",,
"PUTEAUX",,,,"Barre anti-panique sous-sol TR612 HS",,"A réaliser",,
"PUTEAUX",,,,"Câbles HTA coupés et laissés racco dans les cellules HTA : 1H64 + 1H63",,"A réaliser",,
"PUTEAUX",,,,"Canalisation dans les loges TR611 + 612 non raccordées à la terre",,"A réaliser",,
"PUTEAUX",,,,"Dalles manquantes côté 225KV",,"A réaliser",,
"PUTEAUX",,,,"Dans les armoires du tr612 Pas d'éclairage (ampoule changer mais pas d’éclairage)",,"Réalisée",,
"PUTEAUX",,,,"Eau dans les galeries",,"En cours",,
"PUTEAUX",,,,"Eclairage Aérien HS ",,"A réaliser",,
"PUTEAUX",,,,"Eclairage partiel : Rame 6 + Aérien 225kv + Ancienne Loge TR611+ Loge TR613 + sous-sol Grille HTA ",,"A réaliser",,
"PUTEAUX",,,,"Escaliers : Vitre cassé",,"A réaliser",,
"PUTEAUX",,,,"Extincteur bâtiment HTA: Dernière vérification en 2021",,"A réaliser",,
"PUTEAUX",,,,"Grille HTA 611 + 612 : Canalisation proche des moserglaser + collier serrage non mis à la terre",,"A réaliser",,
"PUTEAUX",,,,"Groupe moto-ventilateur des Aeros TR611(sous tension) et TR612 (en exploitation) : Absence de liaison équipotentielle ",,"A réaliser",,
"PUTEAUX",,,,"Impossible de voir le niv d’huile de l’AT 36 verrine très sale",,"A réaliser",,
"PUTEAUX",,,,"Manque badges d’accès coté 225KV pour l’AMEPS",,"Réalisée",,
"PUTEAUX",,,,"Nombreuses trémies à reboucher dans le bâtiment TR (loge, etage, etc)",,"A réaliser",,
"PUTEAUX",,,,"Nombreux points d'infiltration eau dans le nouveau batiment",,"A réaliser",,
"PUTEAUX",,,,"Nouveau bâtiment : Plusieurs câbles BT au sol sans zone de travail",,"A réaliser",,
"PUTEAUX",,,,"Nouvelle LS HTB 612 raccordée sur TR : Limailles présente en sous-sol, LS en cours de fixation dans la loge TR, LS non fixée en sous-sol, TC non mis en place",,"A réaliser",,
"PUTEAUX",,,,"Pas d'éclairage dans le local TCFM",,"A réaliser",,
"PUTEAUX",,,,"Plusieurs dalles cassé au niveau dans la partie 225KV",,"A réaliser",,
"PUTEAUX",,,,"Plusieurs DJ HTA  dans les salles rames + stockage materiel salle contrôle commande",,"A réaliser",,
"PUTEAUX",,,,"Plusieurs trémies de cellules HTA non rebouchés (Rames 5 et 6) + Inscription à l’indélébile sur Cellule HTA 1H38 ",,"En cours",,
"PUTEAUX",,,,"Portes des salles des aéros TR611 et TR612 tape contre un tube iro : bloque-porte ?",,"A réaliser",,
"PUTEAUX",,,,"Salle PIT : Stockage matériel",,"A réaliser",,
"PUTEAUX",,,,"Salle RPN 612 asséché mais trace d’eau sur le TC (connectique S2 ?)",,"A réaliser",,
"PUTEAUX",,,,"Salle SAPUT1 – 2I+2P : Stockage matériel et Groom HS",,"A réaliser",,
"PUTEAUX",,,,"Serrure Locken HS sur Portail bâtiment HTA ",,"A réaliser",,
"PUTEAUX",,,,"Serrure Locken Loge TR611 HS ",,"A réaliser",,
"PUTEAUX",,,,"Sous-sol bâtiment HTA : Nombreux câbles HTA coupés, non capotés et MALT",,"A réaliser",,
"PUTEAUX",,,,"Sous-sol nouveau bâtiment : Pompe HS ? Besoin de réarmement régulier ",,"A réaliser",,
"PUTEAUX",,,,"Stockage de planches en bois dans la salle des aeros TR612",,"A réaliser",,
"PUTEAUX",,,,"Stockage de plusieurs DJ HTA dans les salles Rames.",,"Réalisée",,
"PUTEAUX",,,,"Stockage materiel interieur et exterieur",,"A réaliser",,
"PUTEAUX",,,,"Téléphone HS ",,"Réalisée",,
"PUTEAUX",,,,"TIP TR613 HS",,"A réaliser",,
"PUTEAUX",,,,"TR611 (ancien) prévoir vidange conservateur et transfo partie haute",,"Réalisée",,
"PUTEAUX",,,,"Trémies a reboucher dans les salles rames : 2H25 + 1H34 + HT15 + 2H51 + 2H52 + 1H60 + 1H61 + 1H62 + 1H63 + 1H64 + 1H65 + 1H66 + 1H67 + 1H68  + 1H69",,"A réaliser",,
"PUTEAUX",,,,"Tremies a reboucher HT15-2H51-2H52-2H55-2H64-1H66",,"A réaliser",,
"PUTEAUX",,,,"Vegetation depassant depuis le voisinage cote batiment",,"A réaliser",,
"RUEIL",,,," Éclairage à revoir côté PIT 612 ",,"Réalisée",,
"RUEIL",,,,"BAES",,"Réalisée",,
"RUEIL",,,,"BPAG HS   Bouton qui doit prendre l’eau car alarme intempestives relais démonté dans TG. ",,"A réaliser",,
"RUEIL",,,,"C3S HS",,"A réaliser",,
"RUEIL",,,,"Chauffage HS dans tout le poste",,"A réaliser",,
"RUEIL",,,,"Clé RTE plus dans le boîtier on ne peut plus accéder aux bâtiments RTE",,"Réalisée",,
"RUEIL",,,,"Cloture côte 225KV HS",,"A réaliser",,
"RUEIL",,,,"Gros relamping a faire",,"A réaliser",,
"RUEIL",,,,"Il manque des diviseurs capacitif sur de nombreuses cellules HTA ",,"A réaliser",,
"RUEIL",,,,"Intérieur des pieds du TR 312 rouillés dut à de l'eau qui stagne ",,"A réaliser",,
"RUEIL",,,,"Klaxon HS",,"A réaliser",,
"RUEIL",,,,"La borne incendie coté 225KV qui fuit et crée un micro climat avec des plantes tropicales ",,"En cours",,
"RUEIL",,,,"Nombreux tourets et palettes entreposés dans le poste",,"A réaliser",,
"RUEIL",,,,"Pas de chauffage ni d'éclairage dans les armoires du TR 311  ",,"A réaliser",,
"RUEIL",,,,"Pas d'éclairage dans la loge TR 611",,"A réaliser",,
"RUEIL",,,,"Pb OZONE Rame 3",,"A réaliser",,
"RUEIL",,,,"Prochaine consignation du TR311 vider bac de rétention TIP et solution pour éviter le remplissage",,"A réaliser",,
"RUEIL",,,,"Quelques dalles cassées à remplacer ",,"Réalisée",,
"RUEIL",,,,"Rame 3 grosse odeur d'ozone",,"A réaliser",,
"RUEIL",,,,"SILICAGEL HS TR311",,"Réalisée",,
"RUEIL",,,,"SsI en derangement defaut batterie",,"A réaliser",,
"RUEIL",,,,"Tous les BAES sont a reprendre",,"Réalisée",,
"RUEIL",,,,"Tranche generale alarme danger HS",,"A réaliser",,
"RUEIL",,,,"Tremies 2C24, 2C62, 2C63, 2C64, 2C65, 2C66, 2C67  a reboucher",,"A réaliser",,
"RUEIL",,,,"Trémies à reboucher rame 6 et rame 2 (BO NANTERRE)",,"En cours",,
"RUEIL",,,,"Triflash HS",,"A réaliser",,
"RUEIL",,,,"TS porte ouverte HS",,"A réaliser",,
"RUEIL",,,,"TS porte ouverte ne remonte pas à l' ACR ",,"A réaliser",,
"RUEIL",,,,"Ue partie des BPAG ne fonctionne pas",,"A réaliser",,
"RUEIL",,,,"Une Trappe ventilation haute fermée loge TR612",,"Réalisée",,
"RUEIL",,,,"Verdure pousse sous le JDB 63KV",,"A réaliser",,
"SAINT OUEN",,,,"A116 : Rack de protection déposé / 2 racks de protection posés au sol ",,"A réaliser",,
"SAINT OUEN",,,,"Besoin de ravalement de façade du bâtiment HTA ",,"En cours",,
"SAINT OUEN",,,,"BPAG à acquitter dans le lot auto à chaque manip ",,"A réaliser",,
"SAINT OUEN",,,,"Cellule HTA A146 Identification définitive à faire",,"Réalisée",,
"SAINT OUEN",,,,"Cellule HTA A147 Identification définitive à faire",,"Réalisée",,
"SAINT OUEN",,,,"Changement des manos sur les câbles des 6XX ",,"en cours",,
"SAINT OUEN",,,,"Complément d'huile liaison HTB TR611 à faire",,"Réalisée",,
"SAINT OUEN",,,,"Concertina HS coté AT",,"A réaliser",,
"SAINT OUEN",,,,"CP168 : Manque plaque de façade sur rack protection Faire plaque puis elle sera posée dans la foulée",,"Réalisée",,
"SAINT OUEN",,,,"Défaut mineur sur le lot ½ rame F et A",,"A réaliser",,
"SAINT OUEN",,,,"DJ HTA 148 en attente de vérification dans la rame B",,"A réaliser",,
"SAINT OUEN",,,,"Eclairage des galeries à reprendre ",,"A réaliser",,
"SAINT OUEN",,,,"Eclairage extérieur à revoir",,"A réaliser",,
"SAINT OUEN",,,,"EMIC HS -> Ecran noir",,"Réalisée",,
"SAINT OUEN",,,,"Lors déclenchement RS et buchholz on peut refermer le DJ HTB sur le TR611 ",,"A réaliser",,
"SAINT OUEN",,,,"Manque plaque de cuisson dans la cuisine",,"A réaliser",,
"SAINT OUEN",,,,"Matériel + DJHTA dans les salles Rames (sans protection contre la poussière)",,"A réaliser",,
"SAINT OUEN",,,,"Présence matériel RTE sur le 225kv sans balisage",,"A réaliser",,
"SAINT OUEN",,,,"Présence végétation Grille HTA TR611",,"Réalisée",,
"SAINT OUEN",,,,"Présence végétation Grille HTA TR613",,"Réalisée",,
"SAINT OUEN",,,,"Présence végétation Grille HTA TR615 ",,"Réalisée",,
"SAINT OUEN",,,,"Réparation liaison HTB TR611 à faire avec RTE",,"Réalisée",,
"SAINT OUEN",,,,"SAB1 TR613 ne se ferme pas complètement en TC et pas de retour de position au SENP",,"Réalisée",,
"SAINT OUEN",,,,"Salles TSA + Redresseurs : Ventilation à prévoir dans ces salles / Extrêmement chaud",,"En cours",,
"SAINT OUEN",,,,"Serrures trappes galeries gauche et droite HS ",,"En cours",,
"SAINT OUEN",,,,"Téléphone HS au PS",,"A réaliser",,
"SAINT OUEN",,,,"TS porte ouverte HS depuis le déplacement du portail par RTE",,"Réalisée",,
"SAINT OUEN",,,,"Végétation sur barbelés depuis le voisinage",,"Réalisée",,
"SAINT OUEN",,,,"Voyant Coffret présence HS ",,"A réaliser",,
"SAINT OUEN",,,,"SSI en dérangement/défaut système",,"A réaliser",,
"SAINT OUEN",,,,"Défaut mineur sur calculateur tête lot 3 rame FA",,"A réaliser",,
"SAINT OUEN",,,,"Bruit de tôle ou/et de transite dans les rames G et A mais pas d’odeur",,"A réaliser",,
"SAINT OUEN",,,,"Les départs (libres) 194 et 135 ont des défauts majeur/mineur  ",,"A réaliser",,
"SAINT OUEN",,,,"Chaleur importante dans la salle TSA, pas d'aération !! (Porte ouverte en attendant une solution)",,"A réaliser",,
"SAINT OUEN",,,,"Odeur de chaud dans le local redresseur, pas d’aération dans celui-ci j’ai donc bloqué les portes ouvertes",,"A réaliser",,
"SAINT OUEN",,,,"Batterie TCM 48V à remplacer rapidement ! 2 élèments ont gonflés ! Chaleur Importante dans le local batterie",,"A réaliser",,
"SAINT OUEN",,,,"TCFM défaut mineur non acquittable",,"A réaliser",,
"TILLIERS",,,,"Alimentation coffrets pompes 1 et 2",,"En cours",,
"TILLIERS",,,,"Borne de recharge vE a raccorder",,"En cours",,
"TILLIERS",,,,"Chauffage à changer ",,"En cours",,
"TILLIERS",,,,"Dalles à changer ",,"Réalisée",,
"TILLIERS",,,,"Des câbles BT sont à tétiner, à déposer ou étiqueter entre les loges TR612-613 , ainsi que dans les loges AT sous les coffrets AT",,"A réaliser",,
"TILLIERS",,,,"Eclairage a reprendre sur l'ensemble du batiment",,"A réaliser",,
"TILLIERS",,,,"Faire l’identification des étiquettes à changer et les poser ",,"A réaliser",,
"TILLIERS",,,,"Fuite clim salle CC",,"Réalisée",,
"TILLIERS",,,,"Gradin de condos à déposer en totalité + MALT à mettre sur câble HTA",,"A réaliser",,
"TILLIERS",,,,"Il n’y a pas de réel locaux sociaux (vestiaires salle de repos digne de ce nom…) ",,"Réalisée","attente reponse atalian 30/04/2024",
"TILLIERS",,,,"Il y a un « ménage » de câbles HTA (surement anciennes liaisons HTA inter-rames) à faire au sous-sol",,"Réalisée",,
"TILLIERS",,,,"Il y a un gros relamping à faire voir renouvellement des luminaires car anciens modèles type néon ",,"Réalisée",,
"TILLIERS",,,,"Les dalles de plafonds tombent au fur et à mesure il est temps d’intervenir avant un accident  ",,"Réalisée",21/05/2024,
"TILLIERS",,,,"Niveau bas TIP Grille TR611",,"A réaliser",,
"TILLIERS",,,,"Pancarte EPI ""bien équipé?"" à refixer",,"A réaliser",,
